Puesto,Idioma,Hablantes nativos(millones),Porcentaje depoblación mundial,Familia lingüística,Rama
1,Chino mandarín,929.0,11.922%,Sino-tibetanas,Siníticas
2,Español,474.7,5.994%,Indoeuropeas,Romances
3,Inglés,372.9,4.922%,Indoeuropeas,Germánicas
4,Hindi,343.9,4.429%,Indoeuropeas,Indoarias
5,Bengalí,233.7,4.000%,Indoeuropeas,Indoarias
6,Portugués,232.4,2.870%,Indoeuropeas,Romances
7,Ruso,154.0,2.000%,Indoeuropeas,Baltoeslavas
8,Japonés,125.3,1.662%,Japónicas,Japonés
9,Lahnda,92.7,1.204%,Indoeuropeas,Indoarias
10,Chino yue,85.2,0.949%,Sino-tibetanas,Siníticas
11,Vietnamita,84.6,0.987%,Austroasiáticas,Viéticas
12,Maratí,83.1,1.079%,Indoeuropeas,Indoarias
13,Télugu,82.0,1.065%,Drávidas,Sur-central
14,Turco,82.2,1.031%,Túrquicas,Túrquicas suroccidentales
15,Chino wu,81.7,1.057%,Sino-tibetanas,Siníticas
16,Coreano,81.7,1.004%,Coreánicas,Lengua aislada
17,Francés,79.9,1.003%,Indoeuropeas,Romances
18,Alemán,75.6,0.988%,Indoeuropeas,Germánicas
19,Tamil,75.0,0.974%,Drávidas,Drávida meridional
20,Urdu,70.2,0.891%,Indoeuropeas,Indoarias
21,Javanés,68.3,0.887%,Austronesias,Malayo-polinesias
22,Italiano,64.8,0.842%,Indoeuropeas,Romances
23,Árabe egipcio,64.6,0.839%,Afroasiáticas,Semíticas
24,Guyaratí,57.0,0.732%,Indoeuropeas,Indoarias
25,Persa,56.4,0.686%,Indoeuropeas,Iranias
26,Bhoshpuri,52.2,0.678%,Indoeuropeas,Indoarias
27,Chino min nan,50.1,0.651%,Sino-tibetanas,Siníticas
28,Chino hakka,48.2,0.626%,Sino-tibetanas,Siníticas
29,Chino jin,46.9,0.609%,Sino-tibetanas,Siníticas
30,Hausa,43.9,0.570%,Afroasiáticas,Chádicas
31,Canarés,43.6,0.566%,Drávidas,Drávidas meridionales
32,Indonesio,43.6,0.564%,Austronesias,Malayo-polinesias
33,Yoruba,43.6,0.491%,Nigerocongolesas,Volta-Níger
34,Polaco,40.0,0.516%,Indoeuropeas,Baltoeslavas
35,Chino xiang,37.3,0.484%,Sino-tibetanas,Siníticas
36,Malabar,37.1,0.482%,Drávidas,Drávidas meridionales
37,Oriya,34.5,0.448%,Indoeuropeas,Indoarias
38,Maithili,33.9,0.440%,Indoeuropeas,Indoarias
39,Árabe sudanés,33.3,0.414%,Afroasiáticas,Semíticas
40,Birmano,33.0,0.427%,Sino-tibetanas,Lolo-búrmicas
41,Panyabí,32.6,0.423%,Indoeuropeas,Indoarias
42,Sondanés,32.4,0.421%,Austronesias,Malayo-polinesias
43,Árabe argelino,34.7,0.382%,Afroasiáticas,Semíticas
44,Árabe marroquí,27.5,0.357%,Afroasiáticas,Semíticas
45,Ucraniano,27.3,0.355%,Indoeuropeas,Baltoeslavas
46,Igbo,27.0,0.351%,Nigerocongolesas,Volta-Níger
47,Uzbeko,25.1,0.326%,Túrquicas,Túrquicas surorientales
48,Sindi,24.6,0.319%,Indoeuropeas,Indoarias
49,Árabe levantino septentrional,24.6,0.319%,Afroasiáticas,Semíticas
50,Rumano,24.3,0.316%,Indoeuropeas,Romances
51,Tagalo,23.6,0.306%,Austronesias,Malayo-polinesias
52,Neerlandés,23.1,0.300%,Indoeuropeas,Germánicas
53,Árabe saidi,22.4,0.291%,Afroasiáticas,Semíticas
54,Chino gan,22.1,0.287%,Sino-tibetanas,Siníticas
55,Amhárico,21.9,0.284%,Afroasiáticas,Semíticas
56,Pastún Norte,20.9,0.271%,Indoeuropeas,Iranias
57,Magahi,20.7,0.269%,Indoeuropeas,Indoarias
58,Tailandés,20.7,0.269%,Kra-dai,Tai
59,Saraiki,20.0,0.260%,Indoeuropeas,Indoarias
60,Jémer,16.6,0.216%,Austroasiáticas,Jémer
61,Chatisgarí,16.3,0.212%,Indoeuropeas,Indoarias
62,Somalí,16.2,0.210%,Afroasiáticas,Cushitas
63,Malayo,16.1,0.209%,Austronesias,Malayo-polinesias
64,Cebuano,15.9,0.206%,Austronesias,Malayo-polinesias
65,Nepalí,15.8,0.205%,Indoeuropeas,Indoarias
66,Árabe mesopotámico,15.7,0.204%,Afroasiáticas,Semíticas
67,Asamés,15.3,0.199%,Indoeuropeas,Indoarias
68,Cingalés,15.3,0.199%,Indoeuropeas,Indoarias
69,Kurdo,14.6,0.190%,Indoeuropeas,Iranias
70,Árabe hiyazí,14.5,0.188%,Afroasiáticas,Semíticas
71,Fula,14.5,0.188%,Nigerocongolesas,Senegambianas
72,Bávaro,14.1,0.183%,Indoeuropeas,Germánicas
73,Azerí,13.8,0.179%,Túrquicas,Túrquicas suroccidentales
74,Griego,13.1,0.170%,Indoeuropeas,Helénicas
75,Chittagoniano,13.0,0.169%,Indoeuropeas,Indoarias
76,Kazajo,12.9,0.168%,Túrquicas,Túrquicas noroccidentales
77,Deccani,12.8,0.166%,Indoeuropeas,Indoarias
78,Húngaro,12.6,0.164%,Urálicas,Ugrofinesas
79,Kiñaruanda,12.1,0.157%,Nigerocongolesas,Bantúes
80,Zulú,12.1,0.157%,Nigerocongolesas,Bantúes
81,Árabe levantino meridional,11.6,0.151%,Afroasiáticas,Semíticas
82,Árabe tunecino,11.6,0.151%,Afroasiáticas,Semíticas
83,Árabe san'ani,11.4,0.148%,Afroasiáticas,Semíticas
84,Chino min bei,11.0,0.143%,Sino-tibetanas,Siníticas
85,Pastún,10.9,0.142%,Indoeuropeas,Iranias
86,Kirundi,10.8,0.140%,Nigerocongolesas,Bantúes
87,Checo,10.7,0.139%,Indoeuropeas,Baltoeslavas
88,Árabe ta'izzi-adeni,10.5,0.136%,Afroasiáticas,Semíticas
89,Uigur,10.4,0.135%,Túrquicas,Túrquicas surorientales
90,Min dong,10.3,0.134%,Sino-tibetanas,Siníticas
91,Sylheti,10.3,0.134%,Indoeuropeas,Indoarias
